sid,fName,lName,dob,phNumber,email,streetNumber,streetName,suburb,city,postCode,clinic,sex
1,RYMB,uyd,28-12-1925,0217904868591,TtEaGyqWmxsaKuiHSiUtgPVvDPOkxZekfK@IzLxHyzhaInNGglnVDnwDlO.QTg,1,Rvzdu,P,Qxb,88,G,M
2,JWySNp,OR,19-3-1994,+646784272618,PutqrXtjVMvhEZSdmaVWUh@p.zh,90,Vr,nrcBUdh,sapqB,5,i,M
3,x,oaKNHH,20-3-1999,0217310222149,sdThlSfRwOgQO@yMApMAkVzgIrOvDke.pU,269,iq,R,EZxH,925,N,F
4,RTx,nyQZzG,22-9-1980,0265107059658,fRLUCXDdrCH@YrbVixAxlBvZPhA.WJ,48,kleNV,hS,VJed,9907,n,M
5,PoaM,Y,24-10-2008,+618799479143,VKJyQBIuradVBQaVbBwrdCcZFBFZBCtmDcTOiLT@jLUwWhfRbujXeOTSLKMQKBMaHdBTFKBBvJYx.bU,877,MwSq,eS,W,0851,e,F
6,WlFFtY,WgwIegZ,6-9-2022,0263698523681,MQRjmEgt@fELsBuShHpmRD.jhO,3,x,Bpnvmm,HErt,5,h,F
7,X,qlS,24-9-1944,0271272867104,SUibAHmswEinTsAwnKyStJ@mLElySTkPxOhctHBzYkQNNKKChI.DI,1,H,wjD,AccV,03,q,F
8,nRm,VoaO,26-3-1945,0261574279874,BtaKoSrRf@GHMlnhNpojcimzhqPMBDGMWfgmmxqu.Nc,001,VZAAN,DH,oC,136,w,M
9,Akii,LckKNHr,18-4-1970,0228961281447,rcbLDFehnupTzCzuVVJxTZ@uWjYUYvMQ.lvI,248,fewyRe,oid,BXztlDSY,3,C,M
10,kP,Tlfu,11-2-1992,+613470189307,nUckyXHjSwEAHsaQsIpjLLaSdJJYRCwXT@xGlDPMutmUPm.Ery,750,ZjVN,MHA,zBuJ,826,N,F
