sid,fName,lName,dob,phNumber,email,streetNumber,streetName,suburb,city,postCode,clinic,sex
1,Lb,DORcWoDbub,1967-11-3,0219177053419,yxFaUE@uMOZXZzSsjqrbUPhoQJQfDdRAdVbiFBHIHD.Bw,2,hWuGNN,Mwu,ZJCeRKK,479,E,F
2,EUmud,vVRVCSS,2009-10-21,0296293404714,UzrrJyIUYuoBSpDq@NaSISfJhZ.AZA,1,lsugR,VB,aKqYY,399,G,F
3,vs,GBAa,1997-4-27,0293555524627,SDqwMNjUox@DxxItPDyvP.bn,9,PBT,Y,Vjoohrry,95,k,F
4,oYED,SEUqEFxe,2008-7-21,+642619867435,ihKWrbflZWbjDUjPwqfCzOKW@sllTtLgLPZfjfXmDlojsVevhb.Tbs,5,hd,XhuZm,taQhPR,1,G,M
5,xqQAgJ,GSNlhtQE,1978-8-5,0223950292666,HitzPJuaPCYP@ZbxezwKagHTslLWLQiHvOY.exA,3,PKE,Q,miaibD,8,n,F
6,qp,uRg,1975-10-28,+611326259583,dVp@jPEyAzfthHSSQHOLzrWirfeFzu.fi,7,gAoTch,r,LpxNqNAV,9,n,F
7,WyFyKp,vXTSiNueKD,1962-10-3,+649895866428,LIUbtgXTEpgezIw@hWC.Sz,545,IqRmv,POjyD,kf,9374,i,F
8,fB,pxESq,1931-9-10,+642211459427,BrpjBQXqn@hPzKcEqqT.KtC,47,aNeYf,bRNdJ,eq,5137,S,M
9,fYEb,XTPIFYe,1986-1-12,0228007796039,MjWeTFuIUYaWUEwQteIuSURVkVVbctlMVPnZT@fmyKSzVRdiChDNeBpQvMvnS.lX,6,ighoj,U,PntP,46,w,F
10,E,sWaYPeVU,2022-11-4,0265936267061,flDHqTgNt@AGX.bmz,55,EmbEgG,Nmkm,tplWIaz,60,f,M
